text,category,priority
I just wanted to ask if Herbal Tea is vegan.,Miscellaneous,Low
The seal on the Yoga Mat bottle was broken when I opened the box.,Packaging,High
Where can I find the nearest store that sells Protein Powder? I want a refund ASAP!,Miscellaneous,Low
My wholesale order of Conditioner is missing 50 units.,Trade,High
I found a foreign object inside the Shampoo. This is unacceptable.,Product,High
The packaging for Shampoo was completely crushed during delivery.,Packaging,Medium
The distributor for Multivitamins has not replied to my emails for a week. I want a refund ASAP!,Trade,Medium
"Hello, The pricing on the invoice for Yoga Mat does not match our contract. Please fix this.",Trade,High
The packaging for Yoga Mat was completely crushed during delivery. I want a refund ASAP!,Packaging,Medium
The pricing on the invoice for Protein Powder does not match our contract.,Trade,High
"Hello, The Energy Bar I received was completely broken and unusable. Please fix this.",Product,High
The distributor for Shampoo has not replied to my emails for a week.,Trade,Medium
The Yoga Mat I received was completely broken and unusable.,Product,High
The Essential Oil I received was completely broken and unusable.,Product,High
"Hello, My wholesale order of Shampoo is missing 50 units. Please fix this.",Trade,High
Where can I find the nearest store that sells Energy Bar?,Miscellaneous,Low
"Hello, The distributor for Yoga Mat has not replied to my emails for a week. Please fix this.",Trade,Medium
The Shampoo I received was completely broken and unusable. I want a refund ASAP!,Product,High
Where can I find the nearest store that sells Energy Bar?,Miscellaneous,Low
I found a foreign object inside the Vitamin C Serum. This is unacceptable.,Product,High
The label on the Shampoo is peeling off and unreadable.,Packaging,Low
"Hello, I just wanted to ask if Face Wash is vegan. Please fix this.",Miscellaneous,Low
"Hello, Where can I find the nearest store that sells Energy Bar? Please fix this.",Miscellaneous,Low
"Hello, The label on the Protein Powder is peeling off and unreadable. Please fix this.",Packaging,Low
The taste of the Multivitamins is awful and seems expired.,Product,High
Where can I find the nearest store that sells Vitamin C Serum? I want a refund ASAP!,Miscellaneous,Low
The packaging for Shampoo was completely crushed during delivery.,Packaging,Medium
The seal on the Face Wash bottle was broken when I opened the box.,Packaging,High
"Hello, Do you offer bulk discounts for Conditioner? Please fix this.",Miscellaneous,Low
The pricing on the invoice for Protein Powder does not match our contract.,Trade,High
Where can I find the nearest store that sells Essential Oil?,Miscellaneous,Low
The seal on the Vitamin C Serum bottle was broken when I opened the box.,Packaging,High
The Multivitamins I received was completely broken and unusable.,Product,High
The pricing on the invoice for Herbal Tea does not match our contract.,Trade,High
